Date,Close
8/24/2018,122.15
8/27/2018,123.23
8/28/2018,124.37
8/29/2018,125.01
8/30/2018,123.67
8/31/2018,124.58
9/4/2018,125.51
9/5/2018,123.69
9/6/2018,124.28
9/7/2018,123.73
9/10/2018,125.58
9/11/2018,126.81
9/12/2018,127.95
9/13/2018,128.33
9/14/2018,128.59
9/17/2018,126.97
9/18/2018,128.55
9/19/2018,126.82
9/20/2018,127.15
9/21/2018,127.19
9/24/2018,127.29
9/25/2018,127.86
9/26/2018,127.11
9/27/2018,126.71
9/28/2018,127.4
10/1/2018,126.52
10/2/2018,125.71
10/3/2018,125.49
10/4/2018,122.09
10/5/2018,121.8
10/8/2018,117.86
10/9/2018,117.63
10/10/2018,113.11
10/11/2018,112.78
10/12/2018,117.36
10/15/2018,115.45
10/16/2018,119.89
10/17/2018,119.89
10/18/2018,117.94
10/19/2018,116.5
10/22/2018,116.83
10/23/2018,114.94
10/24/2018,110.39
10/25/2018,114.14
10/26/2018,112.04
10/29/2018,108.84
10/30/2018,110.66
10/31/2018,114.23
11/1/2018,114.77
11/2/2018,114.57
11/5/2018,111.59
11/6/2018,112.13
11/7/2018,115.04
11/8/2018,113.71
11/9/2018,112.17
11/12/2018,109.26
11/13/2018,108.56
11/14/2018,107.3
11/15/2018,109.42
11/16/2018,109.69
11/19/2018,104.38
11/20/2018,103.14
11/21/2018,103.87
11/23/2018,103.13
11/26/2018,106.43
11/27/2018,106.05
11/28/2018,111.06
11/29/2018,110.75
11/30/2018,111.81
12/3/2018,112.82
12/4/2018,106.99
12/6/2018,106.32
12/7/2018,103.84
12/10/2018,103.79
12/11/2018,103
12/12/2018,104.36
12/13/2018,103.77
12/14/2018,101.6
12/17/2018,99.63
12/18/2018,101.14
12/19/2018,101.34
12/20/2018,98.86
12/21/2018,96.27
12/24/2018,95.37
12/26/2018,101.44
12/27/2018,102.73
12/28/2018,102.54
12/31/2018,103.13
1/2/2019,102.03
1/3/2019,98.72
1/4/2019,102.75
1/7/2019,104.9
1/8/2019,107.67
1/9/2019,109.25
1/10/2019,110.25
1/11/2019,110.79
1/14/2019,110.04
1/15/2019,112.01
1/16/2019,112.91
1/17/2019,113.43
1/18/2019,114.59
1/22/2019,112.69
1/23/2019,111.28
1/24/2019,112.23
1/25/2019,113.23
1/28/2019,111.65
1/29/2019,110.7
1/30/2019,113.68
1/31/2019,112.28
2/1/2019,113.76
2/4/2019,115.12
2/5/2019,115.3
2/6/2019,114.32
2/7/2019,113
2/8/2019,114.9
2/11/2019,116.02
2/12/2019,117.42
2/13/2019,122.75
2/14/2019,121.55
2/15/2019,123.3
2/19/2019,124.37
2/20/2019,125.94
2/21/2019,126.62
2/22/2019,127.73
2/25/2019,128.22
2/26/2019,128.4
2/27/2019,129.28
2/28/2019,130.38
3/1/2019,131.49
3/4/2019,130.54
3/5/2019,129.94
3/6/2019,129.55
3/7/2019,129.87
3/8/2019,130.32
3/11/2019,131.89
3/12/2019,131.89
3/13/2019,133
3/14/2019,132.35
